LEX nimi	LEX kood	LEX väärtus	LEX keel	LEX väärtuse liik
pos	adj	adjektiiv, omadussõna	est	descrip
pos	adj	adjective	eng	descrip
pos	adv	D	est	capital
pos	adv	adverb, määrsõna	est	descrip
pos	adv	adverb	eng	descrip
pos	adjg	G	est	capital
pos	adjg	genitiivatribuut, omastavaline täiend	est	descrip
pos	adjg	attribute in genitive	eng	descrip
pos	prop	H	est	capital
pos	prop	prooprium, pärisnimi	est	descrip
pos	prop	proper noun	eng	descrip
pos	interj	I	est	capital
pos	interj	interjektsioon, hüüdsõna	est	descrip
pos	interj	interjection	eng	descrip
pos	konj	J	est	capital
pos	konj	konjunktsioon, sidesõna	est	descrip
pos	konj	conjunction	eng	descrip
pos	adp	K	est	capital
pos	adp	adpositsioon, kaassõna	est	descrip
pos	adp	postposition, preposition	eng	descrip
pos	num	N	est	capital
pos	num	numeraal, arvsõna	est	descrip
pos	num	cardinal, numeral	eng	descrip
pos	ord	O	est	capital
pos	ord	ordinaal, järgarvsõna	est	descrip
pos	ord	ordinal	eng	descrip
pos	pron	P	est	capital
pos	pron	pronoomen, asesõna	est	descrip
pos	pron	pronoun	eng	descrip
pos	s	S	est	capital
pos	s	substantiiv, nimisõna	est	descrip
pos	s	substantive	eng	descrip
pos	v	V	est	capital
pos	v	verb, tegusõna	est	descrip
pos	v	verb	eng	descrip
pos	x	X	est	capital
pos	adj	adj	lat	abbrev
pos	adv	adv	lat	abbrev
pos	adjg	adjg, ag	lat	abbrev
pos	interj	interj	lat	abbrev
pos	konj	konj	lat	abbrev
pos	postp	postp	lat	abbrev
pos	prep	prep	lat	abbrev
pos	num	num	lat	abbrev
pos	pron	pron	lat	abbrev
pos	s	s	lat	abbrev
pos	v	v	lat	abbrev
pos	postp	postpositsioon, tagasõna	est	descrip
pos	prep	prepositsioon, eessõna	est	descrip
pos	x	erivormiline sõna	est	descrip
pos	postp	postposition	eng	descrip
pos	prep	preposition	eng	descrip
pos	prop	nimi	est	wordweb
pos	prep	eessõna	est	wordweb
pos	ord	järgarvsõna	est	wordweb
pos	postp	tagasõna	est	wordweb
pos	num	arvsõna	est	wordweb
pos	pron	asesõna	est	wordweb
pos	adj	omadussõna	est	wordweb
pos	adjg	täiendsõna	est	wordweb
pos	s	nimisõna	est	wordweb
pos	adv	määrsõna	est	wordweb
pos	v	tegusõna	est	wordweb
pos	interj	hüüdsõna	est	wordweb
pos	adp	kaassõna	est	wordweb
pos	konj	sidesõna	est	wordweb
pos_group	A	adjektiiv, omadussõnaga	est	descrip
pos_group	D	adverb, määrsõnaga	est	descrip
pos_group	H	prooprium, pärisnimega	est	descrip
pos_group	K	prep-postp, kaassõnaga	est	descrip
pos_group	N	numeraal, arvsõnaga	est	descrip
pos_group	S	substantiiv, nimisõnaga	est	descrip
pos_group	V	verb, tegusõnaga	est	descrip
pos_group	A	omadussõnaga	est	wordweb
pos_group	D	määrsõnaga	est	wordweb
pos_group	H	pärisnimega	est	wordweb
pos_group	K	kaassõnaga	est	wordweb
pos_group	N	arvsõnaga	est	wordweb
pos_group	S	nimisõnaga	est	wordweb
pos_group	V	tegusõnaga	est	wordweb
process_state	määramata	-	-	-
process_state	koostamisel	-	-	-
process_state	koostatud	-	-	-
process_state	ajakohastamisel	-	-	-
process_state	ajakohastatud	-	-	-
process_state	vajab konsulteerimist	-	-	-
process_state	saadetud konsulteerimisele	-	-	-
process_state	konsulteerimisel	-	-	-
process_state	heaks kiidetud	-	-	-
process_state	tagasi lükatud	-	-	-
process_state	lahenduseta	-	-	-
process_state	toimetamisel	-	-	-
process_state	toimetatud	-	-	-
process_state	peatoimetamisel	-	-	-
process_state	peatoimetatud	-	-	-
process_state	valmis	-	-	-
process_state	avalik	-	-	-
process_state	arhiveeritud	-	-	-
process_state	töös	-	-	-
process_state	läbi vaatamata	-	-	-
process_state	kustutatud	-	-	-
register	eevn	eestivene	est	descrip
register	hlv	halvustav, solvav	est	descrip
register	hlv	offensive	eng	descrip
register	hellitl	hellitlev	est	descrip
register	hrv	harvaesinev	est	descrip
register	hrv	rare	eng	descrip
register	kõrgst	kõrgstiil	est	descrip
register	lastek	lastekeelne	est	descrip
register	lastek	child language	eng	descrip
register	luulek	luulekeelne	est	descrip
register	luulek	poetic	eng	descrip
register	madalk	madalkeelne	est	descrip
register	murd	murdekeelne	est	descrip
register	murd	dialect, regional	eng	descrip
register	nlj	naljatlev	est	descrip
register	nlj	humorous	eng	descrip
register	piltl	piltlik	est	descrip
register	piltl	figurative	eng	descrip
register	släng	släng	est	descrip
register	släng	slang	eng	descrip
register	uudis	uudissõna, neologism	est	descrip
register	uudis	neologism	eng	descrip
register	kõnek	kõnekeelne, vabakeelne, mitteformaalne	est	descrip
register	kõnek	informal, journalistic	eng	descrip
register	van	vananenud, vananemas	est	descrip
register	van	archaic	eng	descrip
register	vulg	vulgaarne	est	descrip
register	vulg	vulgar	eng	descrip
register	eevn	eestivene	est	wordweb
register	hellitl	hellitlev	est	wordweb
register	hlv	halvustav	est	wordweb
register	hrv	harvaesinev	est	wordweb
register	kõrgst	kõrgstiil	est	wordweb
register	lastek	lastekeelne	est	wordweb
register	madalk	madalkeelne	est	wordweb
register	luulek	luulekeelne	est	wordweb
register	murd	murdes	est	wordweb
register	nlj	naljatlev	est	wordweb
register	piltl	piltlik	est	wordweb
register	släng	släng	est	wordweb
register	uudis	uudissõna	est	wordweb
register	van	vananenud	est	wordweb
register	vulg	vulgaarne	est	wordweb
register	kõnek	kõnekeelne	est	wordweb
usage_type	ls	liitsõna	est	descrip
usage_type	ls	compound	eng	descrip
usage_type	Vs	vanasõna	est	descrip
usage_type	Vs	proverb	eng	descrip
usage_type	y	sõnaühend	est	descrip
usage_type	y	sõnaühend	est	wordweb
usage_type	Vs	vanasõna	est	wordweb
value_state	eelistermin	eelistermin	est	descrip
value_state	eelistermin	preferred	eng	descrip
value_state	rööptermin	rööptermin	est	descrip
value_state	rööptermin	admitted	eng	descrip
value_state	variant	variant	est	descrip
value_state	variant	variant	eng	descrip
value_state	väldi	väldi	est	descrip
value_state	väldi	deprecated	eng	descrip
value_state	endine	endine	est	descrip
value_state	endine	superseded	eng	descrip
value_state	eelistermin	eelistermin	est	wordweb
value_state	endine	endine	est	wordweb
value_state	rööptermin	rööptermin	est	wordweb
value_state	väldi	väldi	est	wordweb
word_rel_type	posit	algvõrre	est	full
word_rel_type	deriv_base	tuletusalus	est	full
word_rel_type	komp	keskvõrre	est	full
word_rel_type	superl	ülivõrre	est	full
word_rel_type	deriv	tuletis	est	full
word_rel_type	SERIES	sari	est	full
word_rel_type	VARIANTS	variandid	est	full
word_rel_type	ASPECTS	aspektid	est	full
word_rel_type	ühend	ühend	est	full
word_rel_type	posit	võrdlus	est	wordweb
word_rel_type	komp	võrdlus	est	wordweb
word_rel_type	deriv	saab moodustada	est	wordweb
word_rel_type	deriv_base	moodustatud sõnast	est	wordweb
word_rel_type	superl	võrdlus	est	wordweb
word_rel_type	SERIES	sari	est	wordweb
word_rel_type	VARIANTS	variandid	est	wordweb
word_rel_type	ASPECTS	aspektid	est	wordweb
word_rel_type	ühend	ühend	est	wordweb
word_type	k	kohanimi	est	descrip
word_type	k	place name	eng	descrip
word_type	l	lühend	est	descrip
word_type	l	abbreviation	eng	descrip
word_type	p	pärisnimi	est	descrip
word_type	p	proper name	eng	descrip
word_type	z	tsitaatsõna	est	descrip
word_type	z	loanword (alien)	eng	descrip
word_type	mvv	viiteartikli märksõna	est	descrip
word_type	yv	ühendverb	est	descrip
word_type	vv	väljendverb	est	descrip
word_type	av	ahelverb	est	descrip
word_type	tv	tugiverb	est	descrip
word_type	vlj	väljend	est	descrip
word_type	ys	ühendsidesõna (nii et)	est	descrip
word_type	rs	rühmsidesõna (ei .. ega)	est	descrip
word_type	f	fras-väljend (väljendite plokis)	est	descrip
word_type	f	(idiomatic) phrase (grp)	eng	descrip
word_type	mf	märksõna-väljend (iseseisev)	est	descrip
word_type	mf	multiword unit (in the alphabet)	eng	descrip
word_type	g	omastavaline täiend, genitiivne täiend	est	descrip
word_type	lz	tsitaatsõna lühend	est	descrip
word_type	lz	abbreviation for alien word	eng	descrip
word_type	n	number (nt 24/7)	est	descrip
word_type	n	number	eng	descrip
word_type	pf	prefiksoid, pooleesliide vm esiosa	est	descrip
word_type	pf	combining form	eng	descrip
word_type	s	sarja liige	est	descrip
word_type	s	serial member	eng	descrip
word_type	km	kaubamärk	est	descrip
word_type	th	tähis	est	descrip
word_type	valem	valem	est	descrip
word_type	termin	termin	est	descrip
word_type	tõlkeprobleem	tõlkeprobleem	est	descrip
word_type	ametinimetus	ametinimetus	est	descrip
word_type	organisatsiooni, asutuse nimi	organisatsiooni, asutuse nimi	est	descrip
word_type	õigusakti pealkiri	õigusakti pealkiri	est	descrip
word_type	dokumendi pealkiri	dokumendi pealkiri	est	descrip
word_type	l	lühend	est	wordweb
word_type	km	kaubamärk	est	wordweb
word_type	k	kohanimi	est	wordweb
word_type	lz	lühend	est	wordweb
word_type	th	tähis	est	wordweb
word_type	ametinimetus	ametinimetus	est	wordweb
word_type	dokumendi pealkiri	dokumendi pealkiri	est	wordweb
word_type	õigusakti pealkiri	õigusakti pealkiri	est	wordweb
word_type	organisatsiooni, asutuse nimi	organisatsiooni, asutuse nimi	est	wordweb
word_type	termin	termin	est	wordweb
word_type	tõlkeprobleem	tõlkeprobleem	est	wordweb
word_type	valem	valem	est	wordweb
